post_did,post_uri,author,handle,author_did,text,created_at
did:plc:4lpq4ji2lpefepytmgntkr47,at://did:plc:4lpq4ji2lpefepytmgntkr47/app.bsky.feed.post/3lsk47c7oys2v,MK Alexander,smartreads.bsky.social,did:plc:4lpq4ji2lpefepytmgntkr47,"🕰 Murder, Mystery, History and Time Travel
2500 pages, a singular story, a million words. 
Both playful and disturbing. Truly epic.
#mystery #history #timetravel #KindleUnlimited #BookSky
The Tractus Fynn Mysteries
www.amazon.com/dp/B00EQEH1TY",2025-06-26T21:49:51.060Z
did:plc:anb2nkio5abhidh3smtqhiom,at://did:plc:anb2nkio5abhidh3smtqhiom/app.bsky.feed.post/3lsiumdilwk2e,Judy Fay London,judyfaylondon.bsky.social,did:plc:anb2nkio5abhidh3smtqhiom,"judyfaylondon.com/2025/06/18/l...

#letstalk #culture #history #historylessons #dictators #economics #website #video #youtubevideo #freebooks #books #bookstore",2025-06-26T10:01:18.930Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsaif6vdus24,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"55 years ago today 😱
Iggy Pop, the original punk rock messiah, with the Stooges at Crosley Field in Cincinnati, June 23, 1970

Photo by Thomas Copi

#punk #punks #punkrock #protopunk #iggypop #thestooges #history #punkrockhistory #otd",2025-06-23T02:01:16.411Z
did:plc:np6moewljks2bmteagh6rixm,at://did:plc:np6moewljks2bmteagh6rixm/app.bsky.feed.post/3lsidvfequ22o,RG Poulussen,rgpoulussen.bsky.social,did:plc:np6moewljks2bmteagh6rixm,"#OTD in 1944. Led by their piper, men from 7 Seaforth Highlanders (15 ""Scottish"" Infantry Division). #WW2 #HISTORY",2025-06-26T05:02:09.285Z
did:plc:y2v2hvehgzh4xi3cwje3ws43,at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsdmjemi422n,Hairy Neil,rovingrollo.bsky.social,did:plc:y2v2hvehgzh4xi3cwje3ws43,"Morning All !

One for #RockinTuesday

Goodrich Castle, Herefordshire, UK. June 2025

Taken from the moat which was dug out from the solid rock, they used the rock to build the castle. More in Alt Text

#History #Photography #Landscape #EastCoastKin",2025-06-24T07:53:10.774Z
did:plc:eexrkxc76w3z3bxsdhonvdxn,at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsbijggdp22q,Mark Evans Photography  🏴󠁧󠁢󠁷󠁬󠁳󠁿,mark-s2436.bsky.social,did:plc:eexrkxc76w3z3bxsdhonvdxn,"Powis Castle and garden near Welshpool in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿
#NationalTrust #conservation
#Wales #Powis #photography
#history #Cymru #architecture
#castle #garden #countryside",2025-06-23T11:36:18.266Z
did:plc:7jso3p6tttrr26r2xh6r7uoc,at://did:plc:7jso3p6tttrr26r2xh6r7uoc/app.bsky.feed.post/3lsipvgnbtk25,Jon Hawke,archaeohawke.bsky.social,did:plc:7jso3p6tttrr26r2xh6r7uoc,"#RomanFortThursday

The legionary fortress El-Lajjun, Jordan. 

Lajjun was established after the Bar Kochba Revolt—a Jewish uprising against the #Romans —had been suppressed in 135 CE.

#AncientBlueSky🏛️
#Archaeology #Military #History

📸 photograph (by Kennedy-Bewley 2004)",2025-06-26T08:36:55.485Z
did:plc:2ocpvkq5gioh4kf7p57wjxyo,at://did:plc:2ocpvkq5gioh4kf7p57wjxyo/app.bsky.feed.post/3lsj47zsok223,British History Online,bho.bsky.social,did:plc:2ocpvkq5gioh4kf7p57wjxyo,"""A 17th-century British portrait featuring an identified Black subject is shedding new light on the lives of enslaved attendants in aristocratic households thanks to the rediscovery of a letter written by the sitter himself.""

news.artnet.com/art-world/bl...

#History #BlackHistory  🗃️",2025-06-26T12:17:36.064Z
did:plc:4abopdvt5qcriqfvdoamja2x,at://did:plc:4abopdvt5qcriqfvdoamja2x/app.bsky.feed.post/3lsglrw6mnc2w,Oscar Lozada,oz-of-the-ancients.bsky.social,did:plc:4abopdvt5qcriqfvdoamja2x,"#HillfortsWednesday Oldbury Castle hillfort in Wiltshire by antiquarian William Stukeley, 1723

I always love the little figures that Stukeley includes in these. What are those people doing? Why are they there? It adds such whimsical charm!

#archaeology #arthistory #ancientbluesky #art #history",2025-06-25T12:18:03.140Z
did:plc:sibsq6a75gmxxkawhfrentoi,at://did:plc:sibsq6a75gmxxkawhfrentoi/app.bsky.feed.post/3lsjrfb7afk2o,Emory,emory-f8.bsky.social,did:plc:sibsq6a75gmxxkawhfrentoi,"Did you know?

In the Victorian era, one of the most famous stage actresses, Sarah Bernhardt, played both male and female roles on stage—and dated both men and women off stage.

Her lovers included numerous prominent male royals, as well as female artists and creatives.

#Victorian #history",2025-06-26T18:36:20.147Z
did:plc:rngyals5xd243k44qab4bndc,at://did:plc:rngyals5xd243k44qab4bndc/app.bsky.feed.post/3lscdpsryyc2j,Western Neighborhoods Project ,wnpsf.bsky.social,did:plc:rngyals5xd243k44qab4bndc,"It's officially summer! And summertime means beachtime so here's a look at Ocean Beach from the Cliff House circa 1900. 

[📸 by W.C. Billington courtesy of a Private Collector and WNP / OpenSFHistory, wnp27.4999] #SFHistory #SanFrancisco #History #Photography",2025-06-23T19:43:03.592Z
did:plc:wfsaigxrmhkw6sxie2y3uj52,at://did:plc:wfsaigxrmhkw6sxie2y3uj52/app.bsky.feed.post/3lsk3cn26gk2p,Tractus Fynn,tractusfynn.bsky.social,did:plc:wfsaigxrmhkw6sxie2y3uj52,"This Day in #History 1284 
According to the Lüneburg manuscript, a piper leads 130 children of Hamelin away...",2025-06-26T21:33:49.335Z
did:plc:34ihfkdbo27flbjluvvdzjru,at://did:plc:34ihfkdbo27flbjluvvdzjru/app.bsky.feed.post/3lskrc2qqvs2g,Tank Archives,tankarchives.bsky.social,did:plc:34ihfkdbo27flbjluvvdzjru,The 88 mm Pak 43 was a powerful anti-tank gun but also very heavy and difficult to move. Instructions were issued #OTD in 1943 indicating that the weapon should be used in areas where the front is stable but has limited usefulness in mobile warfare. #artillery #history #WW2 #WWII,2025-06-27T04:07:12.471Z
